nom,adresse,arrondissement,latitude,longitude,type_cuisine,specialite,prix_fourchette,categorie_prix,note_moyenne,nb_avis,ambiance,telephone,vegetarien_friendly,reservation_recommandee
Les Vidal,"133 Place Vendôme, 75001 Paris",75001,48.854929,2.384132,Français,Bistrot,20-30,Moyenne gamme,3.7,150,Convivial,0153999015,True,False
Aux Hernandez,"25 Boulevard Haussmann, 75012 Paris",75012,48.831962,2.352124,Chinois,Cantonais,30-50,Moyenne gamme +,3.8,913,"Branché, Modern",0164730589,False,True
La Fille,"105 Rue du Faubourg Saint-Honoré, 75016 Paris",75016,48.850214,2.325181,Thaïlandais,Traditionnel,20-30,Moyenne gamme,3.9,405,"Traditionnel, Élégant, Business",0125689163,False,True
Maison Digne,"142 Rue de Rennes, 75014 Paris",75014,48.884557,2.339023,Fusion,Modern Fusion,30-50,Moyenne gamme +,4.3,283,"Élégant, Business, Romantique",0172867320,False,True
Le Bernier,"144 Rue Oberkampf, 75012 Paris",75012,48.851333,2.375182,Italien,Trattoria,30-50,Moyenne gamme +,4.4,60,"Romantique, Décontracté",0193560624,True,True
La Saveurs Durand,"37 Boulevard Haussmann, 75006 Paris",75006,48.841161,2.357339,Thaïlandais,Street food,20-30,Moyenne gamme,4.6,60,"Élégant, Familial",0126420934,True,True
Chez Table Dupré,"88 Avenue Montaigne, 75019 Paris",75019,48.843185,2.392567,Thaïlandais,Street food,50+,Haut de gamme,3.8,18,Traditionnel,0178282346,False,True
Chez Clair,"46 Rue du Faubourg Saint-Honoré, 75005 Paris",5005,48.82161,2.31586,Indien,Sud-Indien,50+,Haut de gamme,5.0,429,"Cosy, Familial",0127103444,True,False
Le Guillon,"105 Avenue Montaigne, 75002 Paris",75002,48.892736,2.329346,Indien,Sud-Indien,20-30,Moyenne gamme,4.4,285,"Branché, Décontracté",0199929872,False,False
La Masson,"50 Rue de Passy, 75016 Paris",5016,48.858222,2.307094,Japonais,Ramen,10-20,Bon marché,4.5,379,"Familial, Décontracté, Cosy",0169178146,False,False
Aux Côté,"150 Avenue Victor Hugo, 75012 Paris",5012,48.852751,2.389684,Indien,Sud-Indien,20-30,Moyenne gamme,4.3,16,"Traditionnel, Business, Romantique",0160528883,True,True
La Legros,"98 Avenue Victor Hugo, 75014 Paris",5014,48.830179,2.364168,Végétarien,Végétarien,20-30,Moyenne gamme,4.9,1061,"Modern, Branché",0199854107,False,True
Au Simon,"1 Avenue des Champs-Élysées, 75011 Paris",5011,48.853835,2.321623,Français,Bistrot,20-30,Moyenne gamme,4.9,545,"Familial, Élégant, Convivial",0104630673,True,True
Le Bouvet,"109 Rue du Faubourg Saint-Honoré, 75007 Paris",5007,48.866084,2.324215,Français,Gastronomique,20-30,Moyenne gamme,3.6,81,"Cosy, Décontracté",0103981548,False,False
L' Hamel,"113 Avenue Victor Hugo, 75010 Paris",5010,48.857162,2.341289,Italien,Trattoria,20-30,Moyenne gamme,3.9,70,"Convivial, Traditionnel, Cosy",0124666169,True,True
Le Turpin,"115 Rue de Rivoli, 75002 Paris",5002,48.880857,2.33006,Thaïlandais,Traditionnel,10-20,Bon marché,4.8,70,Convivial,0136132882,False,False
Le Camus,"80 Boulevard Voltaire, 75011 Paris",5011,48.902545,2.386257,Fusion,Modern Fusion,50+,Haut de gamme,4.5,82,"Modern, Décontracté",0143679880,True,True
Au Pruvost,"66 Boulevard Haussmann, 75017 Paris",5017,48.890225,2.339265,Chinois,Dim Sum,10-20,Bon marché,4.7,233,"Romantique, Branché, Décontracté",0155600327,True,False
Les Restaurant Dubois,"125 Boulevard Saint-Germain, 75020 Paris",5020,48.838559,2.353991,Italien,Trattoria,20-30,Moyenne gamme,4.2,179,"Convivial, Décontracté, Traditionnel",0115805452,False,False
Aux Leroux,"49 Boulevard Voltaire, 75002 Paris",5002,48.832456,2.342006,Fusion,Modern Fusion,30-50,Moyenne gamme +,4.1,113,"Familial, Branché, Business",0106613139,False,False
L' Cuisine Bernier,"69 Rue du Faubourg Saint-Honoré, 75005 Paris",5005,48.844069,2.321367,Français,Traditionnel,20-30,Moyenne gamme,3.9,293,"Cosy, Branché",0190485186,False,True
Le Garnier,"7 Rue de la Paix, 75004 Paris",5004,48.813892,2.335103,Méditerranéen,Grec,20-30,Moyenne gamme,4.3,55,"Romantique, Convivial",0176814817,False,True
Maison Saveurs Tessier,"12 Rue de Rennes, 75020 Paris",5020,48.810825,2.370648,Thaïlandais,Street food,30-50,Moyenne gamme +,3.7,113,"Romantique, Business",0139920471,False,False
La Relation,"18 Rue de Passy, 75016 Paris",5016,48.841343,2.322743,Libanais,Mezze,30-50,Moyenne gamme +,4.3,146,"Décontracté, Cosy, Traditionnel",0177602518,True,True
Au Table Navarro,"19 Avenue Montaigne, 75002 Paris",5002,48.857878,2.328982,Chinois,Dim Sum,50+,Haut de gamme,4.6,134,Branché,0162732147,True,True
Au Table Sauvage,"65 Rue de la Roquette, 75003 Paris",5003,48.808456,2.38793,Japonais,Ramen,20-30,Moyenne gamme,4.6,471,"Modern, Décontracté",0166807404,False,False
Maison Imposer,"117 Rue de la Paix, 75001 Paris",5001,48.83912,2.368721,Végétarien,Vegan,20-30,Moyenne gamme,4.2,76,"Branché, Convivial",0169289805,False,True
Chez Lourd,"92 Place Vendôme, 75008 Paris",5008,48.829873,2.396654,Fusion,Asian Fusion,20-30,Moyenne gamme,4.5,226,"Cosy, Convivial",0165848816,True,True
Au Schneider,"61 Rue de Belleville, 75017 Paris",5017,48.844324,2.380259,Italien,Trattoria,30-50,Moyenne gamme +,3.5,279,"Élégant, Traditionnel, Branché",0199875782,True,True
Aux Absolument,"58 Rue Oberkampf, 75019 Paris",5019,48.90035,2.348582,Français,Brasserie,20-30,Moyenne gamme,3.8,24,"Décontracté, Convivial",0165653486,False,True
Le Goncalves,"28 Rue de Rivoli, 75010 Paris",5010,48.826075,2.39319,Végétarien,Vegan,20-30,Moyenne gamme,4.5,290,Convivial,0184212100,False,True
Aux Bailly,"41 Rue Saint-Antoine, 75020 Paris",5020,48.861647,2.341202,Chinois,Cantonais,10-20,Bon marché,4.6,66,"Branché, Modern",0153751204,True,False
Le Couche,"52 Rue de Belleville, 75005 Paris",5005,48.81529,2.383571,Indien,Nord-Indien,10-20,Bon marché,4.0,30,Modern,0107995187,True,False
Le Victime,"73 Rue du Faubourg Saint-Honoré, 75018 Paris",5018,48.840843,2.345303,Français,Traditionnel,10-20,Bon marché,3.6,902,Familial,0158127820,True,False
Maison Marchand,"47 Boulevard Haussmann, 75014 Paris",5014,48.844516,2.362754,Méditerranéen,Grec,20-30,Moyenne gamme,4.3,1021,"Romantique, Élégant",0167544757,True,False
Maison Cuisine Le Gall,"85 Rue de Passy, 75009 Paris",5009,48.867406,2.308744,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,4.6,505,"Branché, Décontracté",0127199704,False,False
Chez Turpin,"100 Rue de Rennes, 75003 Paris",5003,48.870442,2.383521,Italien,Trattoria,30-50,Moyenne gamme +,4.0,118,Branché,0157800569,True,False
Le Secours,"12 Boulevard Saint-Germain, 75004 Paris",5004,48.831228,2.393743,Italien,Pasta,20-30,Moyenne gamme,4.6,40,"Romantique, Business",0154145712,True,False
Le De Oliveira,"134 Rue de la Paix, 75002 Paris",5002,48.887166,2.33735,Libanais,Mezze,30-50,Moyenne gamme +,4.4,355,"Familial, Décontracté, Business",0107813348,False,False
L' Tour,"98 Boulevard Voltaire, 75015 Paris",5015,48.822357,2.387303,Indien,Nord-Indien,10-20,Bon marché,4.2,184,Business,0132055238,False,False
Les Restaurant Merle,"103 Rue de la Paix, 75020 Paris",5020,48.859382,2.367805,Français,Bistrot,30-50,Moyenne gamme +,4.0,49,Business,0108500155,True,False
L' Table Dufour,"109 Avenue Montaigne, 75017 Paris",5017,48.834232,2.360629,Fusion,Asian Fusion,50+,Haut de gamme,5.0,150,"Décontracté, Branché",0190241107,True,False
Les Changement,"138 Rue Oberkampf, 75015 Paris",5015,48.84171,2.334537,Libanais,Mezze,30-50,Moyenne gamme +,3.7,20,Convivial,0105355392,False,False
Au Le Goff,"14 Rue de Rennes, 75015 Paris",5015,48.879256,2.374684,Italien,Pizza,30-50,Moyenne gamme +,4.3,730,"Élégant, Familial",0162229010,False,True
L' Même,"100 Rue de Rennes, 75004 Paris",5004,48.841401,2.328033,Indien,Nord-Indien,10-20,Bon marché,3.7,99,"Cosy, Familial, Élégant",0182730893,False,False
Aux Inquiétude,"112 Rue Oberkampf, 75008 Paris",5008,48.808195,2.345201,Méditerranéen,Grec,50+,Haut de gamme,5.0,234,"Décontracté, Branché",0138800726,True,False
Le Juge,"99 Rue de Rivoli, 75011 Paris",5011,48.892662,2.353775,Français,Bistrot,10-20,Bon marché,3.6,122,Convivial,0130928196,False,False
Au Abri,"95 Boulevard Haussmann, 75010 Paris",5010,48.822471,2.316993,Italien,Pasta,20-30,Moyenne gamme,4.3,230,Modern,0129819939,True,False
Au Humbert,"76 Rue de Belleville, 75011 Paris",5011,48.880404,2.397741,Chinois,Dim Sum,20-30,Moyenne gamme,4.3,247,Modern,0170412864,True,True
Le Cuisine Lenoir,"116 Avenue des Champs-Élysées, 75001 Paris",5001,48.815407,2.354767,Fusion,Modern Fusion,50+,Haut de gamme,4.1,49,"Familial, Décontracté",0102673359,False,False
Maison Quartier,"15 Rue de la Roquette, 75014 Paris",5014,48.890445,2.336043,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,4.8,1057,"Cosy, Modern, Décontracté",0111176269,True,False
Au Bistrot Cohen,"87 Rue Oberkampf, 75010 Paris",5010,48.882853,2.360189,Chinois,Sichuan,30-50,Moyenne gamme +,4.4,457,"Traditionnel, Branché",0140294192,True,False
La Retrouver,"70 Avenue Montaigne, 75015 Paris",5015,48.832356,2.370125,Végétarien,Végétarien,30-50,Moyenne gamme +,3.8,851,"Traditionnel, Familial",0141106193,True,False
L' Cuisine Perrin,"30 Rue Mouffetard, 75015 Paris",5015,48.826857,2.347245,Libanais,Mezze,50+,Haut de gamme,5.0,479,Branché,0104145018,False,True
L' Rocher,"6 Avenue de l'Opéra, 75015 Paris",5015,48.860499,2.400268,Chinois,Cantonais,50+,Haut de gamme,3.9,198,"Romantique, Familial, Cosy",0180040851,False,False
Au Bertrand,"91 Rue de Rennes, 75011 Paris",5011,48.867665,2.387674,Chinois,Cantonais,10-20,Bon marché,4.6,774,Modern,0195986338,False,False
Le Fin,"44 Rue de Passy, 75015 Paris",5015,48.856448,2.332212,Indien,Nord-Indien,10-20,Bon marché,4.6,37,"Traditionnel, Business, Décontracté",0114471326,False,False
La Réveiller,"47 Rue de Passy, 75005 Paris",5005,48.850362,2.30676,Thaïlandais,Traditionnel,20-30,Moyenne gamme,3.7,75,Traditionnel,0107447481,True,False
Au Vieux,"67 Boulevard Saint-Germain, 75008 Paris",5008,48.825323,2.323391,Indien,Nord-Indien,30-50,Moyenne gamme +,4.3,23,"Élégant, Branché, Convivial",0129340903,False,True
Les Prévost,"147 Rue Saint-Honoré, 75008 Paris",5008,48.85213,2.395637,Japonais,Sushi,20-30,Moyenne gamme,4.1,128,"Business, Convivial",0102134025,True,False
Le Restaurant Potier,"45 Rue des Martyrs, 75014 Paris",5014,48.901312,2.385719,Végétarien,Vegan,50+,Haut de gamme,5.0,109,"Cosy, Modern",0142285455,False,False
Le Chercher,"122 Rue de Rivoli, 75005 Paris",5005,48.834516,2.319679,Français,Bistrot,10-20,Bon marché,3.7,104,"Convivial, Branché, Traditionnel",0169825418,False,False
Aux Diallo,"14 Rue de la Paix, 75001 Paris",5001,48.903806,2.367516,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,4.4,539,"Convivial, Familial, Décontracté",0163821845,False,True
Le Dos Santos,"105 Rue de Rennes, 75017 Paris",5017,48.841278,2.393032,Fusion,Modern Fusion,10-20,Bon marché,4.4,142,"Cosy, Familial, Convivial",0124622291,True,False
Au Présent,"85 Boulevard Saint-Germain, 75015 Paris",5015,48.832836,2.377301,Libanais,Grillades,50+,Haut de gamme,4.0,75,"Cosy, Romantique, Décontracté",0178602431,False,False
Le Guyon,"25 Avenue des Champs-Élysées, 75001 Paris",5001,48.867278,2.306936,Indien,Nord-Indien,30-50,Moyenne gamme +,3.6,244,"Convivial, Modern",0189032376,True,True
Les Letellier,"38 Rue Oberkampf, 75019 Paris",5019,48.860853,2.338703,Japonais,Ramen,50+,Haut de gamme,4.7,38,Élégant,0148398682,True,False
Au Énergie,"7 Avenue de l'Opéra, 75015 Paris",5015,48.849853,2.307386,Chinois,Dim Sum,30-50,Moyenne gamme +,4.8,496,Branché,0158936242,True,False
Chez Tempête,"12 Rue Mouffetard, 75002 Paris",5002,48.854113,2.374933,Indien,Nord-Indien,20-30,Moyenne gamme,3.9,33,"Cosy, Convivial, Romantique",0195874299,True,False
L' Navarro,"129 Rue Saint-Honoré, 75003 Paris",5003,48.833977,2.336128,Méditerranéen,Grec,30-50,Moyenne gamme +,4.5,1310,Familial,0161893219,True,True
Maison Haïr,"127 Avenue Montaigne, 75012 Paris",5012,48.84482,2.325855,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,3.8,453,Élégant,0121057242,True,False
Chez Bistrot Sauvage,"17 Rue de Rennes, 75019 Paris",5019,48.905152,2.362049,Thaïlandais,Street food,50+,Haut de gamme,4.5,53,Convivial,0125371021,False,True
Au Restaurant Le Goff,"144 Rue Saint-Honoré, 75015 Paris",5015,48.824825,2.377649,Japonais,Izakaya,10-20,Bon marché,4.0,11,"Traditionnel, Cosy",0176936874,False,False
La Jacquet,"128 Rue Saint-Antoine, 75004 Paris",5004,48.809612,2.391329,Japonais,Ramen,30-50,Moyenne gamme +,4.1,516,Modern,0189908012,False,False
Les Lebreton,"98 Rue de la Paix, 75006 Paris",5006,48.829049,2.332895,Italien,Pizza,10-20,Bon marché,4.3,378,Décontracté,0184705889,True,False
Le Étouffer,"56 Rue Mouffetard, 75011 Paris",5011,48.836044,2.379582,Chinois,Cantonais,30-50,Moyenne gamme +,4.7,401,Branché,0180705459,False,True
La Saveurs Dijoux,"101 Rue Saint-Honoré, 75015 Paris",5015,48.847253,2.353265,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,3.9,452,Convivial,0180871715,False,False
Chez Guillet,"126 Rue Saint-Honoré, 75010 Paris",5010,48.853252,2.357101,Italien,Pizza,50+,Haut de gamme,4.8,23,"Romantique, Décontracté",0135575449,True,True
Maison Weiss,"10 Rue de Belleville, 75006 Paris",5006,48.895654,2.390672,Italien,Pizza,30-50,Moyenne gamme +,4.3,143,Décontracté,0131653500,True,True
Chez Mahe,"140 Rue du Faubourg Saint-Honoré, 75004 Paris",5004,48.811259,2.315146,Thaïlandais,Traditionnel,10-20,Bon marché,4.9,46,"Convivial, Élégant, Business",0113725542,True,False
La Vingt,"10 Rue des Martyrs, 75017 Paris",5017,48.895808,2.327566,Végétarien,Vegan,10-20,Bon marché,3.9,606,"Décontracté, Cosy",0145465627,True,False
L' Launay,"105 Rue Saint-Honoré, 75020 Paris",5020,48.900839,2.338778,Italien,Pizza,20-30,Moyenne gamme,4.2,302,"Décontracté, Traditionnel",0127300083,False,False
Aux Bon,"132 Boulevard Haussmann, 75010 Paris",5010,48.844154,2.347577,Italien,Trattoria,20-30,Moyenne gamme,4.1,130,"Romantique, Convivial, Cosy",0127334897,False,False
Aux Moment,"29 Rue Saint-Antoine, 75014 Paris",5014,48.810102,2.349656,Libanais,Grillades,30-50,Moyenne gamme +,4.4,29,Familial,0138779884,False,True
Chez Naturel,"86 Rue de la Paix, 75013 Paris",5013,48.88308,2.380323,Végétarien,Végétarien,10-20,Bon marché,4.7,121,"Décontracté, Familial, Traditionnel",0129381772,True,False
Au Table Millet,"49 Boulevard Saint-Germain, 75004 Paris",5004,48.896294,2.324262,Méditerranéen,Grec,10-20,Bon marché,3.8,127,"Convivial, Romantique",0168851981,False,False
L' Table Neveu,"149 Rue de la Paix, 75004 Paris",5004,48.862899,2.400169,Végétarien,Vegan,50+,Haut de gamme,4.1,281,Modern,0191892026,False,False
Aux Soulever,"26 Avenue de l'Opéra, 75008 Paris",5008,48.871051,2.391022,Indien,Sud-Indien,10-20,Bon marché,3.8,314,"Business, Modern",0125206700,False,False
Le Cuisine Leduc,"16 Avenue Victor Hugo, 75010 Paris",5010,48.88937,2.302731,Japonais,Izakaya,20-30,Moyenne gamme,3.9,664,"Familial, Modern",0135191167,True,False
Le Enfoncer,"39 Rue du Faubourg Saint-Honoré, 75020 Paris",5020,48.835987,2.36764,Végétarien,Végétarien,50+,Haut de gamme,4.0,140,"Élégant, Décontracté",0195480466,False,False
Maison Table Cousin,"34 Rue du Faubourg Saint-Honoré, 75019 Paris",5019,48.890066,2.398583,Fusion,Modern Fusion,50+,Haut de gamme,4.0,33,"Branché, Élégant, Modern",0162207330,False,False
Au Sauter,"84 Rue de Belleville, 75007 Paris",5007,48.830476,2.321202,Français,Bistrot,30-50,Moyenne gamme +,4.5,384,"Branché, Traditionnel",0109072929,True,True
Chez Pichon,"39 Rue Mouffetard, 75005 Paris",5005,48.904971,2.369298,Chinois,Sichuan,10-20,Bon marché,3.8,439,"Business, Convivial, Élégant",0194896106,False,False
Aux Erreur,"16 Rue des Martyrs, 75020 Paris",5020,48.875949,2.345703,Végétarien,Vegan,50+,Haut de gamme,4.4,179,"Familial, Romantique",0104473096,False,False
La Lefèvre,"9 Rue de Rennes, 75020 Paris",5020,48.869364,2.355253,Méditerranéen,Mezze,20-30,Moyenne gamme,3.8,452,Cosy,0165275747,False,False
Maison Lopez,"115 Boulevard Haussmann, 75013 Paris",5013,48.883168,2.304309,Fusion,Asian Fusion,30-50,Moyenne gamme +,4.3,214,Romantique,0172818452,True,True
Le Saveurs Salmon,"80 Rue des Martyrs, 75010 Paris",5010,48.906444,2.38002,Italien,Trattoria,50+,Haut de gamme,4.9,161,"Modern, Convivial",0144143261,False,False
Chez Glisser,"71 Rue de la Roquette, 75005 Paris",5005,48.880013,2.329649,Indien,Sud-Indien,20-30,Moyenne gamme,4.5,177,"Branché, Traditionnel, Familial",0183047977,False,True
La Durand,"78 Rue du Faubourg Saint-Honoré, 75015 Paris",5015,48.841361,2.395613,Méditerranéen,Espagnol,20-30,Moyenne gamme,4.0,17,Business,0134720383,False,False
Les Curiosité,"126 Place Vendôme, 75009 Paris",5009,48.862868,2.351966,Italien,Trattoria,30-50,Moyenne gamme +,4.0,44,Romantique,0175203023,True,False
Maison Cuisine Grégoire,"148 Rue Saint-Honoré, 75018 Paris",5018,48.815577,2.325254,Français,Bistrot,20-30,Moyenne gamme,4.4,19,"Business, Modern",0198497693,False,True
Maison Lecomte,"110 Rue de Belleville, 75016 Paris",5016,48.905119,2.336152,Fusion,Asian Fusion,20-30,Moyenne gamme,3.5,313,"Décontracté, Romantique, Branché",0159032387,False,True
Chez Foucher,"49 Rue de Passy, 75018 Paris",5018,48.82063,2.342548,Méditerranéen,Mezze,50+,Haut de gamme,4.4,86,"Convivial, Traditionnel",0164897061,False,True
Maison Apprendre,"150 Rue de Belleville, 75010 Paris",5010,48.813962,2.319389,Français,Bistrot,30-50,Moyenne gamme +,4.5,223,"Traditionnel, Romantique, Convivial",0142933009,True,False
Aux Flot,"33 Rue de Rivoli, 75015 Paris",5015,48.818944,2.382714,Français,Traditionnel,20-30,Moyenne gamme,4.2,724,"Branché, Décontracté, Traditionnel",0139356767,True,True
L' Seguin,"26 Rue Saint-Honoré, 75004 Paris",5004,48.847598,2.394953,Italien,Pizza,20-30,Moyenne gamme,3.6,96,"Modern, Décontracté",0105124709,False,False
Les Moreno,"46 Boulevard Saint-Germain, 75016 Paris",5016,48.858199,2.312578,Méditerranéen,Mezze,50+,Haut de gamme,4.4,117,"Business, Branché",0192604499,False,True
Maison Fleury,"148 Rue Mouffetard, 75016 Paris",5016,48.867976,2.307853,Méditerranéen,Espagnol,10-20,Bon marché,4.1,432,"Familial, Modern, Convivial",0150934016,True,False
Les Tempête,"45 Place Vendôme, 75001 Paris",5001,48.820194,2.352942,Français,Bistrot,10-20,Bon marché,4.2,87,"Traditionnel, Branché, Familial",0178149636,False,False
Chez Brunet,"26 Avenue Montaigne, 75001 Paris",5001,48.86389,2.303073,Italien,Pizza,50+,Haut de gamme,4.5,23,"Cosy, Élégant",0169754842,True,True
Les François,"120 Rue de Rivoli, 75012 Paris",5012,48.900407,2.31627,Méditerranéen,Mezze,50+,Haut de gamme,4.3,78,Business,0152648890,True,True
L' Saveurs Lacombe,"5 Boulevard Voltaire, 75020 Paris",5020,48.829388,2.394662,Indien,Nord-Indien,10-20,Bon marché,4.1,62,Traditionnel,0155897269,False,False
Aux Respect,"66 Boulevard Voltaire, 75020 Paris",5020,48.849426,2.350107,Libanais,Grillades,10-20,Bon marché,3.7,806,"Branché, Business",0142577018,True,False
Aux Delahaye,"42 Place Vendôme, 75011 Paris",5011,48.816431,2.303485,Japonais,Ramen,50+,Haut de gamme,3.9,353,Romantique,0103951149,True,True
Au Vallée,"4 Rue des Martyrs, 75017 Paris",5017,48.901548,2.387463,Indien,Sud-Indien,20-30,Moyenne gamme,3.8,311,"Convivial, Décontracté",0140370951,False,False
Les Recevoir,"72 Rue du Faubourg Saint-Honoré, 75019 Paris",5019,48.823782,2.308329,Français,Gastronomique,10-20,Bon marché,3.8,625,"Traditionnel, Romantique, Modern",0171801202,False,False
Le Sauvage,"108 Rue Mouffetard, 75020 Paris",5020,48.885925,2.305147,Indien,Nord-Indien,10-20,Bon marché,4.5,498,"Cosy, Branché, Traditionnel",0110458276,True,False
La Restaurant Lucas,"57 Rue de Rennes, 75016 Paris",5016,48.892225,2.382883,Fusion,Asian Fusion,10-20,Bon marché,4.2,71,"Traditionnel, Familial, Décontracté",0123828806,False,False
L' Je,"147 Rue de Rivoli, 75005 Paris",5005,48.901971,2.341998,Français,Gastronomique,20-30,Moyenne gamme,4.2,679,Décontracté,0123045949,True,False
Chez Chute,"135 Boulevard Saint-Germain, 75007 Paris",5007,48.866506,2.357075,Thaïlandais,Traditionnel,30-50,Moyenne gamme +,4.8,242,Romantique,0199551673,True,False
Le Humain,"119 Avenue Victor Hugo, 75016 Paris",5016,48.883645,2.31544,Chinois,Dim Sum,30-50,Moyenne gamme +,4.0,504,Familial,0148110696,False,True
Au Laroche,"24 Boulevard Haussmann, 75016 Paris",5016,48.905092,2.362378,Indien,Sud-Indien,30-50,Moyenne gamme +,4.5,689,"Modern, Romantique, Business",0164020933,True,True
Aux Enfant,"29 Rue des Martyrs, 75001 Paris",5001,48.836725,2.318826,Chinois,Cantonais,50+,Haut de gamme,4.3,86,"Branché, Décontracté, Convivial",0183098950,True,False
